date,open,high,low,close,movement
2019-06-03,108.059,108.355,107.854,108.027,up
2019-06-04,108.229,108.354,107.82,108.254,up
2019-06-05,108.344,108.403,108.035,108.328,up
2019-06-06,108.457,108.604,107.898,108.454,down
2019-06-09,108.447,108.708,108.368,108.449,down
2019-06-10,108.367,108.797,108.359,108.359,up
2019-06-11,108.484,108.558,108.218,108.474,up
2019-06-12,108.505,108.522,108.165,108.488,down
2019-06-13,108.315,108.497,108.16,108.321,up
2019-06-16,108.562,108.723,108.528,108.576,down
2019-06-17,108.538,108.674,108.097,108.539,up
2019-06-18,108.58,108.606,108.25,108.573,down
2019-06-19,108.105,108.105,107.473,108.115,down
2019-06-20,107.295,107.723,107.046,107.277,up
2019-06-23,107.32,107.515,107.251,107.312,up
2019-06-24,107.349,107.404,106.783,107.327,down
2019-06-25,107.183,107.75,107.164,107.166,up
2019-06-26,107.734,108.153,107.654,107.738,up
2019-06-27,107.772,107.848,107.564,107.747,up
2019-06-30,108.367,108.528,108.108,108.382,up
2019-07-01,108.386,108.466,107.928,108.366,down
2019-07-02,107.823,107.862,107.526,107.805,down
2019-07-03,107.756,107.83,107.707,107.779,up
2019-07-04,107.814,108.613,107.809,107.808,up
2019-07-07,108.475,108.725,108.278,108.474,up
2019-07-08,108.732,108.958,108.716,108.721,up
2019-07-09,108.924,108.984,108.396,108.924,down
2019-07-10,108.332,108.346,107.859,108.334,up
2019-07-11,108.592,108.592,107.955,108.588,down
2019-07-14,107.828,108.096,107.808,107.832,up
2019-07-15,107.89,108.36,107.88,107.889,up
2019-07-16,108.211,108.318,108.068,108.201,down
2019-07-17,107.92,107.999,107.621,107.937,down
2019-07-18,107.41,107.783,107.338,107.401,up
2019-07-21,107.832,108.059,107.712,107.81,up
2019-07-22,107.882,108.275,107.838,107.904,up
2019-07-23,108.228,108.259,107.95,108.232,down
2019-07-24,108.179,108.582,108.04,108.189,up
2019-07-25,108.669,108.823,108.556,108.666,down
2019-07-28,108.627,108.891,108.427,108.633,up
2019-07-29,108.863,108.931,108.45,108.866,down
2019-07-30,108.553,108.647,108.495,108.562,up
2019-07-31,108.815,109.279,108.159,108.82,down
2019-08-01,107.401,107.482,106.553,107.431,down
2019-08-04,106.596,106.617,105.81,106.577,down
2019-08-05,105.623,107.046,105.572,105.593,up
2019-08-06,106.29,106.352,105.561,106.337,down
2019-08-07,106.125,106.287,105.913,106.121,down
2019-08-08,105.875,106.041,105.346,105.874,down
2019-08-11,105.4,105.559,105.049,105.382,up
2019-08-12,105.384,106.933,105.073,105.358,up
2019-08-13,106.589,106.599,105.708,106.59,down
2019-08-14,105.91,106.506,105.71,105.916,up
2019-08-15,106.092,106.477,106.026,106.083,up
2019-08-18,106.412,106.663,106.248,106.43,up
2019-08-19,106.568,106.684,106.184,106.574,down
2019-08-20,106.292,106.588,106.274,106.274,up
2019-08-21,106.6,106.647,106.27,106.597,down
2019-08-22,106.485,106.719,105.295,106.468,down
2019-08-25,104.871,106.287,104.871,104.852,up
2019-08-26,105.988,106.057,105.586,105.978,down
2019-08-27,105.747,105.934,105.654,105.738,up
2019-08-28,106.091,106.534,105.833,106.07,up
2019-08-29,106.466,106.537,106.116,106.438,down
2019-09-01,106.154,106.393,106.075,106.128,up
2019-09-02,106.194,106.378,105.75,106.193,down
2019-09-03,105.863,106.321,105.832,105.861,up
2019-09-04,106.343,107.193,106.336,106.325,up
2019-09-05,107.07,107.09,106.63,107.072,down
2019-09-08,106.941,107.168,106.77,106.945,up
2019-09-09,107.317,107.496,107.205,107.337,up
2019-09-10,107.582,107.847,107.559,107.6,up
2019-09-11,107.999,108.135,107.54,108.021,up
2019-09-12,108.178,108.255,107.92,108.176,down
2019-09-15,107.765,108.055,107.499,107.765,up
2019-09-16,108.145,108.34,108.027,108.161,down
2019-09-17,108.101,108.266,108.097,108.087,up
2019-09-18,108.435,108.464,107.802,108.425,down
2019-09-19,108.068,108.068,107.77,108.041,down
2019-09-22,107.635,107.763,107.31,107.652,down
2019-09-23,107.607,107.765,107.25,107.614,down
2019-09-24,107.177,107.791,107.005,107.163,up
2019-09-25,107.682,107.721,107.435,107.692,up
2019-09-26,107.744,108.173,107.656,107.756,up
2019-09-29,107.932,108.14,107.745,107.944,up
2019-09-30,108.058,108.448,107.67,108.069,down
2019-10-01,107.732,107.884,107.184,107.737,down
